libtheora 1.1.1-4
libtiff 4.1.0-1
libtirpc 1.1.4-1
libtommath 1.2.0-1
libtool 2.4.6+42+gb88cebd5-6
libtorrent-rasterbar 1:1.1.13-4
libunistring 0.9.10-1
libunwind 1.3.1-1
libupnp 1.6.25-1
liburcu 0.11.0-1
libusb 1.0.23-1
libusbmuxd 1.0.10+29+g9db5747-1
libutempter 1.1.6-3
libutil-linux 2.34-6
libuv 1.33.1-1
libva 2.5.0-1
libvdpau 1.3-1
libvirt 5.8.0-2
libvirt-glib 2.0.0-1
libvisio 0.1.7-2
libvisual 0.4.0-7
libvncserver 0.9.12-1
libvoikko 4.3-1
libvorbis 1.3.6-1
libvpx 1.8.1-1
libwacom 1.1-1
libwbclient 4.10.10-2
libwebp 1.0.3-1
libwmf 0.2.12-1
libwpd 0.10.3-1
libwpe 1.4.0-1
libwpg 0.3.3-1
libwps 0.4.10-1
libx11 1.6.9-3
libxau 1.0.9-1
libxaw 1.0.13-2
libxcb 1.13.1-1
libxcomposite 0.4.5-1
libxcursor 1.2.0-1
libxdamage 1.1.5-1
libxdg-basedir 1.2.0-4
libxdmcp 1.1.3-1
libxext 1.3.4-1
libxfce4ui 4.14.1-2
libxfce4util 4.14.0-1
libxfixes 5.0.3-2
libxfont2 2.0.4-1
libxft 2.3.3-1
libxi 1.7.10-1
libxinerama 1.1.4-1
libxkbcommon 0.9.1-1
libxkbcommon-x11 0.9.1-1
libxkbfile 1.1.0-1
libxklavier 5.4-2
libxml2 2.9.9-6
libxmlb 0.1.13-1
libxmu 1.1.3-1
libxpm 3.5.12-2
libxrandr 1.5.2-1
libxrender 0.9.10-2
libxshmfence 1.3-1
libxslt 1.1.33-1
libxss 1.2.3-1
libxt 1.2.0-1
libxtst 1.2.3-2
libxv 1.0.11-2
libxxf86dga 1.1.5-1
libxxf86vm 1.1.4-2
libyaml 0.2.2-1
libzapojit 0.0.3+14+g2dace3f-1
libzip 1.5.2-2
libzmf 0.0.2-7
licenses 20191011-1
light 1.2.1-2
linux 5.3.11.1-1
linux-api-headers 5.3.1-1
linux-firmware 20191022.2b016af-1
llvm-libs 9.0.0-4
lm_sensors 3.6.0-1
lmdb 0.9.24-1
logrotate 3.15.1-1
lpsolve 5.5.2.5-3
lsb-release 1.4-15
lua 5.3.5-2
lua51 5.1.5-8
lua52 5.2.4-4
lua52-bitop 1.0.2-8
lua52-expat 1.3.0-4
lua52-lpeg 1.0.2-1
lua52-luajson 1.3.4-2
lua52-socket 20190219-1
luajit 2.0.5-2
lutris 0.5.3-2
lvm2 2.02.186-2
lynx 2.8.9-2
lz4 1:1.9.2-1
lzo 2.10-2
m4 1.4.18-2
mailcap 2.1.48+14+g5811758-1
make 4.2.1-3
man-db 2.9.0-1
man-pages 5.03-1
maven 3.6.2-1
mbedtls 2.16.0-1
mdadm 4.1-1
media-player-info 24-1
mercurial 5.1.2-1
mesa 19.2.4-1
mesa-demos 8.4.0-2
meson 0.52.0-4
metis 5.1.0.p6-1
minecraft-launcher 2.1.9618-2
minecraft-technic-launcher 4.493-1
minizip 1:1.2.11-3
mjpegtools 2.1.0-4
mkinitcpio 27-2
mkinitcpio-busybox 1.30.1-1
mobile-broadband-provider-info 20190618-1
mod_dnssd 0.6-7
mono 6.0.0.334-1
most 5.1.0-1
mousetweaks 3.32.0-1
mozilla-common 1.4-5
mpfr 4.0.2-1
mpg123 1.25.13-1
mtdev 1.1.5-2
mtools 4.0.23-1
mutter 3.34.1+52+g403d8fcc6-1
mypaint-brushes1 1.3.0-1
nano 4.5-1
nautilus 3.34.1-1
nautilus-sendto 3.8.6+14+ge8a3604-1
ncurses 6.1-6
ndctl 67-1
neofetch 6.1.0-1
neon 0.30.2-3
net-snmp 5.8-4
net-tools 1.60.20181103git-1
netcf 0.2.8-7
netctl 1.20-1
nettle 3.5.1-1
network-manager-applet 1.8.24-1
networkmanager 1.20.6-1
networkmanager-openvpn 1.8.10-1
ninja 1.9.0-1
nm-connection-editor 1.8.24-1
node-gyp 6.0.1-1
nodejs 13.1.0-2
noto-fonts 20190926-2
npm 6.12.1-1
npth 1.6-1
nspr 4.23-1
nss 3.47-1
ntfs-3g 2017.3.23-3
numactl 2.0.13-1
nvidia 440.31-2
nvidia-utils 440.31-1
oath-toolkit 2.6.2-7
odt2txt 0.5-3
oh-my-zsh-git r5361.8b6b2ea07-1
oh-my-zsh-powerline-theme-git r81.56021ec-1
okular 19.08.3-1
oniguruma 6.9.3-1
openal 1.19.1-2
opencore-amr 0.1.5-2
openexr 2.4.0-6
openjpeg2 2.3.1-1
openresolv 3.9.2-1
openssh 8.1p1-1
openssl 1.1.1.d-1
openssl-1.0 1.0.2.t-1
openvpn 2.4.8-1
opera-ffmpeg-codecs 77.0.3865.120-1
opus 1.3.1-1
orc 0.4.31-1
orca 3.34.1-1
osinfo-db 20190920-1
p11-kit 0.23.18.1-1
p7zip 16.02-5
pacman 5.2.1-1
pacman-contrib 1.2.0-3
pacman-mirrorlist 20191001-1
pam 1.3.1-1
pambase 20190105.1-1
pango 1:1.44.7-1
pangomm 2.42.0-1
pangox-compat 0.0.2+2+gedb9e09-3
parted 3.3-1
patch 2.7.6-8
pavucontrol 1:4.0-1
pciutils 3.6.2-1
pcre 8.43-1
pcre2 10.33-1
pcsclite 1.8.25-1
pepper-flash 32.0.0.293-1
perl 5.30.1-1
perl-alien-build 1.92-1
perl-alien-libxml2 0.11-1
perl-capture-tiny 0.48-2
perl-encode-locale 1.05-5
perl-error 0.17028-1
perl-ffi-checklib 0.25-1
perl-file-chdir 0.1011-3
perl-file-listing 6.04-6
perl-file-which 1.23-2
perl-html-parser 3.72-8
perl-html-tagset 3.20-8
perl-http-cookies 6.05-1
perl-http-daemon 6.01-7
perl-http-date 6.04-1
perl-http-message 6.18-3
perl-http-negotiate 6.01-6
perl-io-html 1.001-5
perl-libwww 6.41-1
perl-lwp-mediatypes 6.02-6
perl-mailtools 2.21-2
perl-net-http 6.19-2
perl-path-tiny 0.108-2
perl-timedate 2.30-6
perl-try-tiny 0.30-3
perl-uri 1.76-2
perl-www-robotrules 6.02-6
perl-xml-libxml 2.0201-2
perl-xml-libxslt 1.96-4
perl-xml-namespacesupport 1.12-3
perl-xml-parser 2.44-9
perl-xml-sax 1.00-1
perl-xml-sax-base 1.09-3
phodav 2.3-1
phonon-qt5 4.11.1-1
phonon-qt5-vlc 0.11.1-1
pinentry 1.1.0-4
pipewire 0.2.7-1
pixman 0.38.4-1
pkcs11-helper 1.25.1-1
pkgconf 1.6.3-2
playonlinux 4.3.4-1
polkit 0.116-3
polkit-qt5 0.113.0-1
polybar 3.4.1-1
poppler 0.82.0-1
poppler-data 0.4.9-1
poppler-glib 0.82.0-1
poppler-qt5 0.82.0-1
popt 1.16-10
postgresql-libs 11.5-7
powerline 2.7-4
powerline-common 2.7-4
powerline-fonts-git r202.e80e3eb-1
powerline-vim 2.7-4
powertop 2.11-1
procps-ng 3.3.15-1
protobuf 3.10.1-1
psmisc 23.3-1
pulseaudio 13.0-2
pulseaudio-alsa 2-5
pulseaudio-bluetooth 13.0-2
purpose 5.64.0-1
pv 1.6.6-2
pygobject-devel 3.34.0-3
pygobject2-devel 2.28.7-3
pygtk 2.24.0-8
python 3.8.0-1
